Designator,Mid X,Mid Y,Rotation,Layer
BT1,10.0,19.5102,180.0,bottom
BZ1,3.5,-13.5,135.0,bottom
C1,3.25,7.25,180.0,top
C10,-4.5,4.75,180.0,top
C11,-13.25,33.75,0.0,top
C12,-12.0,38.75,0.0,top
C13,-3.5,29.25,180.0,top
C14,3.0,29.75,270.0,top
C15,-13.0,19.25,180.0,top
C16,11.75,-21.0,180.0,top
C17,6.0,-26.5,180.0,top
C18,-2.75,-27.75,90.0,top
C19,13.98,-24.25,180.0,top
C2,8.25,12.5,270.0,top
C20,-3.0,-15.5,180.0,top
C21,-18.25,-27.5,270.0,top
C22,-19.25,-27.5,270.0,top
C23,7.25,6.25,0.0,top
C24,-19.0,-18.27,90.0,top
C25,-10.5,11.27,270.0,top
C26,-8.75,11.5,0.0,top
C27,-18.25,38.0,180.0,top
C28,1.25,32.75,0.0,top
C29,-1.48,32.75,180.0,top
C3,2.5,23.25,0.0,top
C30,-3.5,-14.0,90.0,top
C31,8.0,-4.5,270.0,top
C32,7.0,-4.5,90.0,top
C33,8.52,11.0,0.0,top
C34,13.5,21.0,180.0,top
C35,6.73,-25.0,180.0,top
C36,-3.73,-25.25,0.0,top
C4,-8.25,17.5,90.0,top
C5,-7.25,6.98,270.0,top
C6,-8.8,7.28,270.0,top
C7,-10.2,9.0,180.0,top
C8,-1.25,40.0,0.0,top
C9,-5.25,7.0,90.0,top
CN1,5.04,43.75,180.0,top
CN2,-17.75,6.75,270.0,top
D1,17.75,-23.5,180.0,top
D2,17.75,-21.25,180.0,top
D3,12.75,-3.799999,0.0,top
D4,2.75,-2.0,180.0,top
D6,2.75,-4.25,180.0,top
D7,2.75,-6.5,180.0,top
FB1,-4.0,6.962499,90.0,top
J1,18.0,-29.25,90.0,top
J2,-10.112,-42.588,90.0,top
J3,-10.112,-45.128,90.0,top
J4,-10.112,-47.668,90.0,top
J5,17.0,13.0,90.0,top
J6,-16.75,-4.525,270.0,top
J7,18.25,-3.25,90.0,top
J8,-6.5,2.25,270.0,top
L1,17.4375,21.75,0.0,top
Q2,-19.25,15.75,270.0,top
Q3,-15.25,13.75,90.0,top
R1,-7.25,34.75,90.0,top
R10,12.75,-27.74,90.0,top
R11,-2.0,-16.5,180.0,top
R12,-5.0,-3.25,90.0,top
R13,-7.0,-3.25,90.0,top
R14,-18.75,13.0,0.0,top
R15,-15.0,18.0,180.0,top
R16,-14.75,11.0,0.0,top
R17,-15.75,16.5,180.0,top
R18,-19.75,-21.5,90.0,top
R19,-20.5,-18.25,90.0,top
R2,-6.0,35.49,90.0,top
R20,-20.5,-24.25,90.0,top
R21,9.0,-3.5,270.0,top
R22,14.0,22.5,0.0,top
R23,-19.0,-24.25,90.0,top
R24,-0.5,-2.25,270.0,top
R25,-6.75,37.490001,90.0,top
R26,-8.25,-10.0,90.0,top
R27,-10.0,-10.0,90.0,top
R3,12.75,-15.75,0.0,top
R4,12.75,-12.75,0.0,top
R5,14.5,-21.0,0.0,top
R6,-7.0,-0.75,90.0,top
R7,10.25,-29.75,0.0,top
R8,12.25,-29.75,0.0,top
R9,14.5,-23.0,0.0,top
SW1,-8.75,45.5,270.0,top
SW2,-4.5,45.5,270.0,top
U1,0.0,15.0,45.0,top
U10,-18.75,35.25,270.0,top
U11,0.0,34.75,0.0,top
U12,12.65,30.75,90.0,top
U2,-12.0,36.25,90.0,top
U3,0.0,29.5,180.0,top
U4,17.25,-14.5,90.0,top
U5,-15.0,26.0,90.0,top
U6,3.5,-32.5,180.0,top
U7,10.175,-25.8,90.0,top
U8,-12.5,-29.5,90.0,top
U9,5.25,2.345,180.0,top
X1,-11.2,6.4,270.0,top
X2,-12.25,12.0,270.0,top
